Item_code,Item,Variable,Value,Primary_reference_of_dataset,Reference_where_data_were_collated,Website_of_source_of_collated_data
101,Canary seed,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.015,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
116,Potatoes,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.003,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
122,Sweet potatoes,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0052,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
125,Cassava,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.002,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
156,Sugar cane,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.001,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
157,Sugar beet,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0019,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
176,"Beans, dry",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.05,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
187,"Peas, dry",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.04,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
201,Lentils,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.033,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
205,Vetches,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.029,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
221,"Almonds, with shell",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.065,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
222,"Walnuts, with shell",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.034,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
225,"Hazelnuts, with shell",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.001,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
236,Soybeans,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.055,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
249,Coconuts,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.005,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
254,"Oil, palm fruit",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.004,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
260,Olives,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.01,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
267,Sunflower seed,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.027,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
280,Safflower seed,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.05,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
329,Cottonseed,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.064,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
358,Cabbages and other brassicas,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0039,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
367,Asparagus,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.007,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
372,Lettuce and chicory,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0024,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
373,Spinach,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.005,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
388,Tomatoes,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0013,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
393,Cauliflowers and broccoli,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0044,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
394,"Pumpkins, squash and gourds",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0042,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
397,Cucumbers and gherkins,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.001,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
399,Eggplants (aubergines),N_removal_metric_t_N_removed_per_metric_t_crop_product,0.002,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
401,"Chillies and peppers, green",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.002,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
402,"Onions, shallots, green",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.002,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
426,Carrots and turnips,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.002,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
430,Okra,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.003,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
486,Bananas,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.002,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
489,Plantains and others,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.008,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
490,Oranges,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0044,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
515,Apples,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.003,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
