"item","item_code","item_group_code","N_kg_per_t_fresh_wt","P_kg_per_t_fresh_wt","K_kg_per_t_fresh_wt","DM_pc","N_pc","P_pc","K_pc"
"Mushrooms and truffles",449,1714,9.28,NA,NA,NA,2.67,NA,NA
"Mustard seed",292,1714,39.84,NA,NA,NA,3.542,0.6,NA
"Nutmeg, mace and cardamoms",702,1714,13.14,1.31,15.77,NA,2.67,NA,NA
"Nuts nes",234,1714,11.2,NA,NA,NA,2.67,NA,NA
"Oats",75,1714,21.6,3.616,4.525,89,2.08,0.406292134831461,0.508426966292135
"Oil palm fruit",254,1714,3.645,0.7,4.1,NA,2.43,0.34,NA
"Oilseeds nes",339,1714,13.0742857142857,4.58,21.726,NA,3.34,NA,NA
"Okra",430,1714,2.82,0.548,3.0295,NA,2.67,NA,NA
"Olives",260,1714,7.3,11.336,9.96,35,2.67,3.23885714285714,2.84571428571429
"Onions, dry",403,1714,2.58666666666667,0.658,2.158,NA,2.67,NA,NA
"Onions, shallots, green",402,1714,2.57333333333333,0.548,1.826,NA,2.67,NA,NA
"Oranges",490,1714,3.1,0.4,4.6,NA,1.184,0.23,NA
"Papayas",600,1714,59.82,17.876,144.42,NA,2.67,NA,NA
"Peaches and nectarines",534,1714,2.2,0.436,3.32,18,2.67,0.242222222222222,1.84444444444444
"Pears",521,1714,1.77,0.4,2.6,18,2.67,0.222222222222222,1.44444444444444
"Peas, dry",187,1714,38,8.7,9.8,NA,4.21,NA,NA
"Peas, green",417,1714,16.7,3.3,9.96,44.11,2.891,0.2926,1.0624
"Pepper (piper spp.)",687,1714,9.8,1.31,15.77,NA,2.67,NA,NA
"Peppermint",748,1714,11.5,1.31,15.77,NA,2.67,NA,NA
"Persimmons",587,1714,0.96,NA,NA,NA,2.67,NA,NA
"Pigeon peas",197,1714,NA,NA,NA,NA,4,NA,NA
"Pineapples",574,1714,1.04,0.198,1.411,NA,2.67,NA,NA
"Pistachios",223,1714,16.48,NA,NA,NA,2.67,NA,NA
"Plantains and others",489,1714,3.32666666666667,0.268,5.02,65.3,1.17,0.16,0.768759571209801
"Plums and sloes",536,1714,2.4,NA,NA,NA,2.67,NA,NA
"Poppy seed",296,1714,28.8,NA,NA,NA,3.59,0.98,NA
"Potatoes",116,1714,2.536,1,6.15,21.6,0.87,0.05,2.84722222222222
"Pulses nes",211,1714,26.0666666666667,4.23,13.186,85,3.432911775,0.265333333333333,1.66
"Pumpkins, squash and gourds",394,1714,2.66666666666667,0.442,3.247,NA,2.495,0.26,NA
"Pyrethrum, dried",754,1714,13.5,1.31,15.77,NA,2.112,0.24,NA
"Quinces",523,1714,0.32,NA,NA,NA,2.67,NA,NA
"Quinoa",92,1714,19.2,NA,NA,NA,2.432,0.41,NA
"Ramie",788,1714,4.02,1.1,3.32,NA,NA,NA,NA
"Rapeseed",270,1714,31.36,5.8695,NA,91,3.466,0.645,NA
"Raspberries",547,1714,1.44,NA,NA,NA,2.67,NA,NA
"Rice, paddy",27,1714,12.9,2.83333333333333,2.96333333333333,88.5,1.297,0.27,0.334839924670433
"Roots and tubers nes",149,1714,4.365,0.3,2.9,27,0.742,0.18,1.07407407407407
"Rubber, natural",836,1714,7.23333333333333,1.254,4.375,100,0,0,0.4375
"Rye",71,1714,21.3,3.6,4.6,88,1.944,0.35,0.522727272727273
"Safflower seed",280,1714,30.0733333333333,5.394,19.236,NA,2.692,NA,NA
"Seed cotton",328,1714,55.75,11.336,31.52,NA,3.34,NA,NA
"Sesame seed",289,1714,25.74,5.118,9.6665,94,3.396,0.59,1.02835106382979
"Sisal",789,1714,5,1.1,3.32,NA,NA,NA,NA
"Sorghum",83,1714,14.5533333333333,4.45,4.15,87,1.716,0.315,0.477011494252874
"Soybeans",236,1714,59.3,8.05,18.3,88,6.2265,0.555,2.07954545454546
"Spices nes",723,1714,12.66,0.985,8.8395,NA,NA,NA,NA
"Spinach",373,1714,4.02,0.636,3.735,NA,2.67,NA,NA
"Strawberries",544,1714,5.48,1.744,8.3,NA,2.67,NA,NA
